Timestamp,V A-N,V B-N,V C-N,V A-B,V B-C,V C-A,I A,I B,I C,I Neutral,"VA, Phase A","VA, Phase B","VA, Phase C","VAR, Phase A","VAR, Phase B","VAR, Phase C","W, Phase A","W, Phase B","W, Phase C","VA, Total","VAR, Total","W, Total","PF, Phase A","PF, Phase B","PF, Phase C","PF, Total",Current Unbalance,"Wh, (Q1+Q4)","Wh, (Q2+Q3)",Wh-Net*,"Wh, Total","VARh, (Q1+Q2)","VARh, (Q3+Q4)","VARh, Net","VARh, Total",Frequency,"V A-N or V A-B, %THD",V B-N %THD,V C-N or V C-B %THD,"I A, %THD","I B, %THD","I C, %THD","I A, %TDD","I B, %TDD","I C, %TDD"
02/12/2022 15:22:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65535,-1,-1,-1,-1,-1,-1,-1,-1,NaN,655.35,655.35,655.35,655.35,655.35,655.35,655.35,655.35,655.35
02/12/2022 15:30:00,239.8639373779297,413.3728332519531,240.3326873779297,478.1252136230469,478.2557067871094,480.4738464355469,61.92290496826172,44.03297805786133,29.04705810546875,17.1771240234375,14860.6982421875,18219.201171875,6980.41455078125,-7169.6875,8430.3125,4917.03125,13016.6796875,16151.5087890625,4954.66015625,34677.5,6177.65625,34122.84765625,0.8759130835533142,0.8865102529525757,0.7097945809364319,0.9840054512023926,3760,445,0,445,445,80,0,80,80,59.97454071044922,3.93,2.03,3.88,46.19,48.61,45.04,12.93,9.62,5.96
02/12/2022 15:45:00,240.36672973632812,414.0365295410156,240.53890991210938,479.2053527832031,479.1443176269531,481.4375,61.632728576660156,43.994293212890625,28.988697052001953,16.9964599609375,14818.0517578125,18220.609375,6977.34814453125,-7159.0625,8371.875,4909.6875,12973.92578125,16183.3291015625,4957.68896484375,34660.0,6122.5,34114.9453125,0.8755486607551575,0.8881880640983582,0.7105405926704407,0.9842742085456848,3735,853,0,853,853,152,0,152,152,60.01200485229492,3.73,2.09,3.69,45.75,48.08,44.95,12.82,9.53,5.94
02/12/2022 16:00:00,241.63076782226562,416.6893615722656,242.28956604003906,481.60943603515625,481.7312927246094,483.9884948730469,61.58970260620117,43.843238830566406,28.988391876220703,17.0697021484375,14888.3349609375,18259.685546875,7022.45849609375,-7278.75,8495.0,4946.875,12987.755859375,16163.2509765625,4984.31201171875,34687.5,6163.125,34135.31640625,0.872344434261322,0.8851878046989441,0.7097674012184143,0.9840812087059021,3746,853,0,853,853,153,0,153,153,60.005245208740234,3.78,2.13,3.7,46.9,49.23,45.4,13.08,9.68,5.99
02/12/2022 16:15:00,241.72642517089844,416.4925231933594,241.80789184570312,481.3067626953125,481.408203125,483.39447021484375,61.88789749145508,44.0415153503418,28.749202728271484,17.1893310546875,14957.0712890625,18362.189453125,6951.796875,-7306.5625,8605.625,4901.71875,13050.91015625,16220.7119140625,4929.52587890625,34758.75,6200.78125,34201.1484375,0.8725578784942627,0.8833756446838379,0.7091009616851807,0.9839579463005066,3786,854,0,854,854,154,0,154,154,59.95375442504883,3.79,2.13,3.77,46.15,48.9,46.14,12.96,9.67,6.02
02/12/2022 16:30:00,244.7850799560547,421.6521301269531,244.96221923828125,486.9890441894531,487.0925598144531,489.10552978515625,61.943626403808594,44.16427993774414,28.626611709594727,17.3443603515625,15139.7998046875,18607.341796875,7003.015625,-7498.75,9053.125,5017.03125,13152.310546875,16256.4306640625,4885.86083984375,34918.75,6571.40625,34294.6015625,0.8687242269515991,0.8736568093299866,0.6976795792579651,0.9821256995201111,3792,855,0,855,855,154,0,154,154,60.011566162109375,3.85,1.96,3.8,48.1,51.26,47.89,13.42,10.07,6.18
02/12/2022 16:45:00,243.11236572265625,419.1041564941406,243.28863525390625,484.2204895019531,484.3064270019531,486.0091247558594,61.551727294921875,44.139076232910156,28.495817184448242,16.9281005859375,14962.671875,18500.9296875,6931.5283203125,-7370.3125,8697.8125,4907.34375,13021.4443359375,16328.859375,4895.37890625,34808.75,6234.84375,34245.6796875,0.8701097965240479,0.8825996518135071,0.7063646912574768,0.9838629364967346,3761,857,0,857,857,157,0,157,157,59.97364807128906,3.52,1.88,3.44,46.27,48.88,46.36,12.93,9.68,5.99
02/12/2022 17:00:00,243.5073699951172,419.87603759765625,243.6606903076172,485.2521667480469,485.3537902832031,487.0505676269531,61.6959342956543,44.080482482910156,28.47940444946289,16.8731689453125,15025.1220703125,18512.46875,6938.50341796875,-7355.0,8811.875,4902.1875,13101.8701171875,16280.6591796875,4910.2978515625,34877.5,6359.0625,34292.828125,0.8719017505645752,0.879488468170166,0.7076930403709412,0.9832493662834167,3786,856,0,856,856,156,0,156,156,60.00154113769531,3.49,1.95,3.47,46.08,49.53,46.24,12.9,9.78,5.97
02/12/2022 17:15:00,245.45541381835938,423.1400146484375,245.59999084472656,488.5588073730469,488.66351318359375,490.3851013183594,61.43976593017578,44.048866271972656,28.517045974731445,17.00439453125,15060.1611328125,18632.740234375,6994.8828125,-7445.9375,8917.5,4984.6875,13090.6630859375,16360.3017578125,4907.1943359375,34960.0,6456.25,34358.16015625,0.8693097233772278,0.878319263458252,0.7017450332641602,0.9828644394874573,3755,859,0,859,859,160,0,160,160,59.99834060668945,3.47,1.84,3.42,47.5,50.14,46.55,13.18,9.87,6.02
02/12/2022 17:30:00,244.70570373535156,422.2675476074219,244.8523406982422,487.9971923828125,488.0958557128906,489.4764404296875,62.61653137207031,44.19232177734375,28.64093017578125,17.808837890625,15333.435546875,18670.5625,7013.6376953125,-7690.0,9196.875,4973.4375,13265.6171875,16248.3671875,4945.291015625,35063.75,6480.3125,34459.2734375,0.8651639223098755,0.8702275156974792,0.7051018476486206,0.9827581644058228,3869,860,0,860,860,161,0,161,161,59.973899841308594,3.27,1.63,3.26,48.59,52.32,49.1,13.67,10.24,6.31
02/12/2022 17:45:00,243.93801879882812,421.10540771484375,244.09112548828125,486.5670471191406,486.6683044433594,487.9132995605469,63.08287048339844,44.6013298034668,28.722030639648438,18.09326171875,15385.7568359375,18791.642578125,7013.91162109375,-7791.5625,9365.0,5001.5625,13266.9775390625,16291.7880859375,4917.1923828125,35097.5,6575.0,34475.95703125,0.8622049689292908,0.8669200539588928,0.7010765075683594,0.9822907447814941,3874,861,0,861,861,163,0,163,163,60.01141357421875,3.17,1.84,3.13,49.01,52.71,50.11,13.88,10.39,6.43
02/12/2022 18:00:00,243.13973999023438,420.2321472167969,243.30262756347656,485.3684387207031,485.4752197265625,486.2408447265625,63.39895248413086,44.89339828491211,28.7126522064209,18.2220458984375,15423.41015625,18865.626953125,6985.6533203125,-7850.0,9432.5,4989.84375,13276.2001953125,16338.3251953125,4888.81396484375,35123.75,6572.34375,34503.33984375,0.8607194423675537,0.8659982085227966,0.6995581388473511,0.9823195934295654,3882,862,0,862,862,165,0,165,165,60.04237365722656,2.96,1.94,2.92,49.44,52.66,50.48,14.04,10.45,6.46
02/12/2022 18:15:00,243.0074920654297,420.0549011230469,243.1707000732422,485.2136535644531,485.3094177246094,486.0359191894531,63.45198059082031,45.08967971801758,28.70793914794922,18.1866455078125,15426.466796875,18950.619140625,6982.83642578125,-7860.9375,9508.125,5009.53125,13273.3515625,16392.66796875,4864.57958984375,35166.25,6656.71875,34530.6015625,0.86042720079422,0.8650201559066772,0.6966480612754822,0.9819244742393494,3869,863,0,863,863,165,0,165,165,59.99003219604492,3.02,1.95,2.96,49.68,53.04,50.82,14.11,10.56,6.5
02/12/2022 18:30:00,242.2384490966797,418.430908203125,242.3859100341797,483.77679443359375,483.8943176269531,484.8063049316406,63.676944732666016,45.15203094482422,28.78317642211914,18.289794921875,15423.8818359375,18904.26171875,6983.970703125,-7846.25,9429.375,5000.46875,13279.017578125,16384.734375,4875.50390625,35161.25,6583.59375,34539.2578125,0.8609387278556824,0.8667217493057251,0.6980991363525391,0.9823102951049805,3882,863,0,863,863,165,0,165,165,60.01835632324219,3.08,2.01,3.01,49.77,52.47,50.36,14.18,10.48,6.46
02/12/2022 18:45:00,244.92022705078125,423.4288635253906,245.04269409179688,489.1158447265625,489.2281799316406,489.9217529296875,63.234615325927734,44.68159103393555,28.571073532104492,18.2928466796875,15478.8076171875,18917.134765625,7001.14208984375,-7917.1875,9520.9375,5018.59375,13300.8408203125,16346.5615234375,4881.5771484375,35158.75,6622.34375,34528.98046875,0.8594008684158325,0.8641995787620544,0.6972929835319519,0.9821154475212097,3899,863,0,863,863,165,0,165,165,59.97917556762695,3.06,1.99,2.99,50.14,53.3,51.68,14.17,10.5,6.55
02/12/2022 19:00:00,244.84286499023438,424.4244384765625,245.31861877441406,490.037109375,490.1545715332031,490.32763671875,63.57728576660156,45.04857635498047,28.284793853759766,18.5430908203125,15568.47265625,19114.216796875,6937.38525390625,-8058.75,9702.1875,4999.21875,13320.423828125,16468.86328125,4809.91748046875,35231.25,6642.65625,34599.203125,0.8557595610618591,0.8616589307785034,0.6935320496559143,0.9820491671562195,3931,864,0,864,864,165,0,165,165,60.00822067260742,2.79,2.41,2.69,50.85,53.27,51.93,14.41,10.58,6.52
02/12/2022 19:15:00,246.0744171142578,426.12274169921875,246.2088623046875,492.1793518066406,492.2869873046875,492.3616638183594,63.02888488769531,45.05825424194336,28.269691467285156,18.4185791015625,15513.154296875,19214.88671875,6966.58642578125,-8125.0,9697.8125,5047.65625,13215.224609375,16588.1484375,4801.44677734375,35232.5,6620.46875,34604.8203125,0.8518958687782288,0.8633455038070679,0.6892383694648743,0.9821946024894714,3867,865,0,865,865,166,0,166,166,59.993988037109375,2.63,2.44,2.56,51.3,53.56,52.76,14.38,10.63,6.59
02/12/2022 19:30:00,246.4090576171875,426.747802734375,246.5579071044922,492.53521728515625,492.6199951171875,492.6193542480469,63.16691970825195,45.17938995361328,28.16588592529297,18.2958984375,15553.5830078125,19262.875,6943.60107421875,-8105.0,9825.3125,5032.65625,13274.8232421875,16568.75390625,4783.873046875,35280.0,6752.96875,34627.453125,0.8532530665397644,0.8602532148361206,0.6892871856689453,0.9816166162490845,3882,866,0,866,866,168,0,168,168,60.0252799987793,2.78,2.43,2.72,51.04,53.4,53.12,14.35,10.64,6.6
02/12/2022 19:45:00,246.37265014648438,426.6975402832031,246.5284881591797,492.7654113769531,492.8780822753906,492.78424072265625,63.1675910949707,45.098297119140625,28.2012939453125,18.3447265625,15550.111328125,19238.35546875,6953.39794921875,-8095.0,9814.375,5031.5625,13276.96484375,16546.65625,4799.3291015625,35275.0,6750.9375,34622.94921875,0.8538180589675903,0.8600867986679077,0.6902135014533997,0.9815152287483215,3886,866,0,866,866,168,0,168,168,60.02421569824219,2.81,2.59,2.72,51.12,54.14,52.13,14.37,10.74,6.51
